[Wed Jul 25 12:49:13.476562 2018] [:error] [pid 1092:tid 1804] [client 127.0.0.1:50373] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:49:13.645507 2018] [:error] [pid 1092:tid 1808] [client 127.0.0.1:50375] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:49:13.711914 2018] [:error] [pid 1092:tid 1808] [client 127.0.0.1:50375] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:49:32.305664 2018] [:error] [pid 1092:tid 1824] [client 127.0.0.1:50390] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:49:32.398437 2018] [:error] [pid 1092:tid 1824] [client 127.0.0.1:50390] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:49:32.599609 2018] [:error] [pid 1092:tid 1808] [client 127.0.0.1:50391] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 12:49:32.674804 2018] [:error] [pid 1092:tid 1808] [client 127.0.0.1:50391] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Layouts\\default.ctp on line 38, referer: http://shailinfotech.prime.com/Pages/frontourservices/id:page3
[Wed Jul 25 13:32:56.458984 2018] [:error] [pid 1092:tid 1812] [client 127.0.0.1:52535] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 37, referer: http://shailinfotech.prime.com/Pages/frontcontactus/id:page5
[Wed Jul 25 13:32:56.692382 2018] [:error] [pid 1092:tid 1828] [client 127.0.0.1:52536] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 37, referer: http://shailinfotech.prime.com/Pages/frontcontactus/id:page5
[Wed Jul 25 13:32:56.856445 2018] [:error] [pid 1092:tid 1804] [client 127.0.0.1:52538] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 37, referer: http://shailinfotech.prime.com/Pages/frontcontactus/id:page5
[Wed Jul 25 13:33:00.555664 2018] [:error] [pid 1092:tid 1804] [client 127.0.0.1:52541] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 37, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Wed Jul 25 13:34:02.403320 2018] [:error] [pid 1092:tid 1820] [client 127.0.0.1:52639] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 36, referer: http://shailinfotech.prime.com/Pages/frontcontactus/id:page5
[Wed Jul 25 13:34:02.408203 2018] [:error] [pid 1092:tid 1824] [client 127.0.0.1:52638] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 36, referer: http://shailinfotech.prime.com/Pages/frontcontactus/id:page5
[Wed Jul 25 13:34:02.819335 2018] [:error] [pid 1092:tid 1808] [client 127.0.0.1:52641] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 36, referer: http://shailinfotech.prime.com/Pages/frontcontactus/id:page5
[Wed Jul 25 13:34:05.536132 2018] [:error] [pid 1092:tid 1808] [client 127.0.0.1:52646] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 36, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Wed Jul 25 13:34:19.858398 2018] [:error] [pid 1092:tid 1804] [client 127.0.0.1:52675] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 36, referer: http://shailinfotech.prime.com/Pages/frontcontactus/id:page5
[Wed Jul 25 13:34:19.865234 2018] [:error] [pid 1092:tid 1820] [client 127.0.0.1:52674] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 36, referer: http://shailinfotech.prime.com/Pages/frontcontactus/id:page5
[Wed Jul 25 13:34:20.028320 2018] [:error] [pid 1092:tid 1828] [client 127.0.0.1:52676] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 36, referer: http://shailinfotech.prime.com/Pages/frontcontactus/id:page5
[Wed Jul 25 13:34:22.409179 2018] [:error] [pid 1092:tid 1820] [client 127.0.0.1:52683] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 36, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Thu Jul 26 11:29:48.778320 2018] [:error] [pid 5872:tid 1828] [client 127.0.0.1:49495] PHP Parse error:  syntax error, unexpected ')' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 26, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Thu Jul 26 11:29:50.257812 2018] [:error] [pid 5872:tid 1828] [client 127.0.0.1:49498] PHP Parse error:  syntax error, unexpected ')' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 26, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Thu Jul 26 11:29:54.603515 2018] [:error] [pid 5872:tid 1812] [client 127.0.0.1:49503] PHP Parse error:  syntax error, unexpected ')' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 26, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Thu Jul 26 11:29:55.791015 2018] [:error] [pid 5872:tid 1812] [client 127.0.0.1:49505] PHP Parse error:  syntax error, unexpected ')' in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 26, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Thu Jul 26 11:35:31.395507 2018] [:error] [pid 5872:tid 1828] [client 127.0.0.1:49520] PHP Parse error:  syntax error, unexpected end of file in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 216, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Thu Jul 26 11:35:32.565429 2018] [:error] [pid 5872:tid 1828] [client 127.0.0.1:49522] PHP Parse error:  syntax error, unexpected end of file in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 216, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Thu Jul 26 11:36:24.873046 2018] [:error] [pid 5872:tid 1828] [client 127.0.0.1:49525] PHP Parse error:  syntax error, unexpected end of file in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 219, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Thu Jul 26 11:36:26.340820 2018] [:error] [pid 5872:tid 1828] [client 127.0.0.1:49528] PHP Parse error:  syntax error, unexpected end of file in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 219, referer: http://shailinfotech.prime.com/Pages/frontdownload/id:page2
[Thu Jul 26 11:38:42.497070 2018] [:error] [pid 5872:tid 1808] [client 127.0.0.1:49546] PHP Parse error:  syntax error, unexpected end of file in C:\\xampp\\htdocs\\shailinfotech\\app\\View\\Pages\\frontdownload.ctp on line 220
